id,title,origin,basis,sourceOrigin,taxonomy,verification,body,evidence,questions,references,referencesNote,glossaryReferences,hypotheses,disclaimer
"no-column-for-you","There is no column for you","ai","structural","","","","This research can describe who sells the technology, who buys it, what they paid, when the contract renews, which law applies and how mature each rollout is. Across eleven tables and 1,922 records, the person a system is used on appears in exactly one place: as someone who sued. Rollout maturity is even measured on a scale that runs from innovator to laggard — the buyer's vocabulary, end to end.","10 of 1,922 records describe an individual, all of them litigants | 0 of 99 regulations record a route to individual review | adoption_stage vocabulary: innovator → early-adopter → early-majority → late-majority → laggard","","","","","",""
"accountability-not-wired","Accountability isn't wired to deployment, even in the schema","ai","structural","","","","Litigation records carry a vendor, a domain, a court and an outcome — but nothing links a ruling to the specific systems it concerned. A finding and the deployments it should govern cannot be joined. The accountability gap is not only a policy problem; it is visible as a missing relationship in the data model.","litigation table: no deployment reference on any of 46 records | regulations record which domains are affected, not which systems","","","","","",""
"findings-dont-stop-deployment","A regulator finding does not stop a deployment","ai","documented","","","","Data-protection authorities in seven countries have each found against the same company for collecting people's biometric data without consent. The operation continues. A ruling, on this record, is a cost rather than a stop.","Clearview AI: ICO (UK), CNIL (France), Garante (Italy), HDPA (Greece), AP (Netherlands), OAIC (Australia), OPC (Canada) | Additional US actions: In re Clearview AI (BIPA, MDL 2967), ACLU v Clearview AI","","","","","",""
"emergency-systems-withdrawn","Systems built for an emergency get switched off after it","ai","documented","","","","Ten of the fourteen pandemic-response deployments in this record are decommissioned. The arrival of a capability is not a commitment to maintain it — which matters most for anyone who came to depend on one.","22 of 399 deployments decommissioned; 10 of those are pandemic-response | By contrast: health 32 deployments (29 live), law enforcement 31 (27 live)","","","","","",""
"organised-harassment-is-fact","Organised covert harassment of individuals is established fact","ai","documented","","","","Not a theory, and not confined to states. Seven decided or settled cases in this record describe sustained, deniable targeting of named people — by police forces and by corporations. Two further entries are included as context and as a contested case, and are labelled as such rather than counted alongside these.","Socialist Workers Party v Attorney General — COINTELPRO burglaries, informants, mail-opening | UK Undercover Policing (Spy Cops) — Investigatory Powers Tribunal, ongoing | HP boardroom pretexting — settled with the California Attorney General | eBay cyberstalking of two journalists — settled | Nestlé/Securitas infiltration of Attac — decided, Lausanne | WhatsApp/Meta v NSO Group — Pegasus, on appeal","","","","","",""
"official-is-not-independent","“Official” is not the same as “independent”","ai","documented","","","","73 of the 87 vendor-published sources in this research carry the top evidence tier. That is defensible for a fact like which company won which contract, and it is not the same as independent confirmation. Stated here because a reader deserves to weigh it, and because the limits of a record are part of the record.","660 citations across 604 distinct URLs and 389 publishers | Tier A 323 · Tier B 285 · Tier C 52 | 0 of 660 sources currently hold an archived copy","","","","","",""
"fined-in-europe-hired-in-america","Fined in Europe, hired in America","ai","documented","","","","One facial-recognition company has been fined roughly €90 million by four European regulators for collecting people's faces without asking, and ordered to delete data in Australia and Canada. Over the same period, US Immigration and Customs Enforcement paid it $12.75 million — one of those the largest facial-recognition purchase ICE has made. Its American class-action settlement was paid in company shares rather than cash. One arm of government is penalising what another arm is buying, and nothing in this record shows the two ever meeting.","Clearview AI appears in 15 of the 46 litigation records — the most of any single company | Fines: Italy, France, Greece and the Netherlands totalling about €90.5m, plus a €5.2m penalty for non-payment | ICE awards recorded FY25 $9m and FY26 $3.75m | US settlement paid as roughly 23% of company equity, not cash","","","","","",""
"local-law-does-not-mean-local","A law saying “keep it local” doesn’t keep it local","ai","structural","","","","Twenty countries in this record have rules requiring government data to stay within their borders. In ten of the countries where we can see actual deployments, most government workloads still run on American companies anyway. The only places where that genuinely changes are the ones that shut those companies out altogether — and even there, the few remaining records are exits rather than operations.","44 of 99 regulations carry a localisation requirement, across 20 geographies | US-headquartered vendors still hold the majority in 10 of them — Australia 25 of 26, Israel 15 of 15, Netherlands 7 of 7, Denmark 4 of 4 | Displacement only under explicit exclusion: China 3 of 28, Russia 3 of 23 — and all three Russian records are decommissioned | 34 of 107 vendors are US-based, but they hold 273 of 399 deployments","","","","","",""
"headline-spending-is-not-spending","The headline spending figure is not what governments spent","ai","structural","","","","Add up every value in this dataset and you get about $102.8 billion. Roughly a third of that is not government money at all — it is companies announcing their own investments: a data-centre expansion in Saudi Arabia, a stake bought in another firm. And one $9 billion US defence contract is counted four separate times, once for each supplier on it. We are pointing this out about our own dataset because anyone quoting the total as government spending would be wrong.","About $34.3bn of the $102.8bn total is vendor capital expenditure or regional pledges | Includes Oracle’s $14bn Saudi expansion and Microsoft’s $1.5bn equity stake in G42 — the buyer field reads “Microsoft (equity into G42)” | The JWCC $9bn ceiling appears four times, once per awarded vendor | 47 of 90 awards record no value at all, including the UK intelligence-community contract","","","","","",""
"sequence-cannot-be-proven","We cannot prove which came first, the law or the system","ai","structural","","","","The timeline shows laws and deployments together, and it is tempting to read cause into the order they appear. The data does not support that reading. The fields built to link one event to another were never filled in, and the deployment records carry no date at all. Thirty-two events are tagged with labels like “law follows capability”, but those tags point at nothing. Treat the timeline as two stories shown side by side, not as one causing the other.","milestones.linked_milestone_id: empty in all 311 rows | milestones.lag_days: empty in all 311 rows | 32 of 311 milestones carry a relationship label with no target | The deployments table has no date field of any kind","","","","","",""
