attributed_by,cause_attributed,claim_id,contested_by,doc_date,document,source_id,supporting_line,tier,topic
"CDC (Stone et al., Vital Signs)","Relationship problems, substance use, physical health problems, and job/financial problems as circumstances contributing to suicide (beyond mental health conditions)",c01,,2018-06-08,"Vital Signs: Trends in State Suicide Rates — United States, 1999–2016 and Circumstances Contributing to Suicide — 27 States, 2015 (MMWR)",hs008,"Relationship, substance use, health, and job or financial problems are among the other circumstances contributing to suicide.",A,us_suicide_rise
"CDC (Stone et al., Vital Signs)",COUNTER/COMPLICATION of mental-illness-only attribution: a majority of suicide decedents had no known mental health condition,c02,,2018-06-08,Same MMWR Vital Signs report,hs008,"Fifty-four percent of decedents in 27 states in 2015 did not have a known mental health condition; among these, relationship problems/loss, life stressors, and recent/impending crises were more common than among decedents with known conditions.",A,us_suicide_rise
World Health Organization,"Crisis moments with breakdown in ability to deal with life stresses (financial problems, relationship disputes, chronic pain/illness); conflict, disaster, violence, abuse, loss, sense of isolation; prior attempt; links to depression and alcohol use disorders",c03,,2025-03-25,WHO fact sheet: Suicide (updated 2025-03-25),hs022,"Many suicides happen impulsively in moments of crisis with a breakdown in the ability to deal with life stresses... experiencing conflict, disaster, violence, abuse or loss and a sense of isolation are strongly associated with suicidal behaviour.",A,us_suicide_rise
US Surgeon General (Vivek Murthy),Social isolation and loneliness as predictor/contributor to suicidal ideation and behavior,c04,,2023-05,Our Epidemic of Loneliness and Isolation (advisory),hs088,"Social isolation is arguably the strongest and most reliable predictor of suicidal ideation, attempts, and lethal suicidal behavior.",A,us_suicide_rise
"Anglemyer, Horvath & Rutherford (meta-analysis)",Household firearm access as factor associated with elevated suicide risk (access factor only; no method detail),c05,,2014-01-21,"The Accessibility of Firearms and Risk for Suicide and Homicide Victimization Among Household Members, Annals of Internal Medicine",hs097,"Access to firearms is associated with risk for completed suicide and being the victim of homicide (pooled OR for suicide 3.24, 95% CI 2.41-4.40).",A,us_suicide_rise
Anne Case & Angus Deaton (BPEA),"Cumulative economic and social disadvantage among working-class whites without a college degree ('deaths of despair': suicide, drug overdose, alcoholic liver disease)",c06,"Ruhm (2018), NBER WP 24188 (c07)",2017-03-23,"Mortality and Morbidity in the 21st Century, Brookings Papers on Economic Activity, Spring 2017",hs092,"Case and Deaton document an accumulation of pain, distress, and social dysfunction in the lives of working class whites that took hold as the blue-collar economic heyday of the early 1970s ended.",A,us_suicide_rise
Christopher J. Ruhm (NBER),"COUNTER-ATTRIBUTION to deaths-of-despair: the drug environment (supply, availability, cost), not deteriorating economic conditions, primarily drives the fatal-overdose component",c07,,2018-01,"Deaths of Despair or Drug Problems?, NBER WP 24188",hs093,Changes in economic conditions account for less than one-tenth of the rise in drug and opioid-involved mortality rates... likely to primarily reflect drug problems rather than deaths of despair.,A,us_suicide_rise
CDC Director Robert Redfield,"Drug overdose and suicide as drivers of declining US life expectancy (2015-2018), framed as preventable",c08,,2018-11-29,CDC Director's Media Statement on U.S. Life Expectancy,hs095,This troubling trend is largely driven by deaths from drug overdose and suicide.,A,us_suicide_rise
CDC,"Opioid overdose deaths attributed to three waves: increased opioid prescribing (1990s), heroin (2010), illicitly manufactured fentanyl (2013)",c09,,2025-06-09,Understanding the Opioid Overdose Epidemic (reviewed 2025-06-09),hs096,"The first wave began with increased prescribing of opioids in the 1990s... second wave began in 2010 (heroin)... third wave began in 2013, with substantial increases in overdose deaths involving synthetic opioids, particularly illegally made fentanyl.",A,us_suicide_rise
"Twenge, Joiner, Rogers & Martin",Increased new-media screen time (smartphones/social media) after 2010 linked to rises in adolescent depressive symptoms and suicide-related outcomes,c10,"Odgers (2024), Nature (c14); Ophir et al. (2019) methodological comment",2018-01,Clinical Psychological Science 6(1),hs102,Adolescents who spent more time on new media were more likely to report mental health issues.,A,us_suicide_rise
